Adorable,Abandoned
Ravaged,Wilted
Raving,Wimpy
Reaffirming,Wired
Ready-to-wear,Witchy
Realistic-looking,Withdrawn
Reasonably-priced,Woeful
Receptive-looking,Worn
Rejuvenating,Worrisome
Stylish,Wounded
Sophisticated,Wrathful
Stunning,Wronged
Striking,X-rated
Sharp,Xanthous (yellowish)
Svelte,Xenophobic
Suave,Yawn-inducing
Sensational,Yearning
Satisfying,Yellowed
Supreme,Yucky
Sumptuous,Zealous
Serene,Zero
Sublime,Zesty
Splendid,Zigzagging
Superb,bad
Sweet,poor
Swanky,worst
Sassy,torned
Sporty,smelly
Snug,discoloured
Smooth,discolored
Soft,holes
Silky,dirty
Shimmering,stained
Shapely,stinky
Sleek,pricy
Slimming,
Sculpting,
Supportive,
Secure,
Solid,
Special,
Sparkling,
Spiffy,
Spunky,
Strappy,
Sunny,
Supreme,
Spirited,
Summery,
Simple,
Striped,
Satiny,
Stunningly,
Suitable,
Showstopping,
Sunshiney,
Seasonal,
Summertime,
Softly,
Trendy,
Tailored,
Terrific,
Top-notch,
Tasteful,
Timeless,
Tender,
Thrilling,
Tranquil,
Tempting,
Textured,
Terrifically,
Tantalizing,
Trustworthy,
Trim,
Terrifically,
Thrillingly,
True-to-size,
Thoughtful,
Tidy,
Tenacious,
Tonic,
Tempered,
Triumphant,
Titillating,
Toned,
Terrifically,
Tastefully,
Transformative,
Touchable,
Thriving,
Together,
Thrive,
Tactile,
Tempestuous,
Tactful,
Thorough,
Tidy,
Tranquility,
Trending,
Touching,
Thankful,
Transcendent,
Time-saving,
Treasured,
Trusting,
Tastemaker,
Tenderly,
Tempted,
Thrilled,
Unique,
Ultramodern,
Unbeatable,
Uncompromising,
Unforgettable,
Unmatched,
Uplifting,
Up-to-date,
Uncommon,
Ultra-chic,
Vibrant,
Versatile,
Valuable,
Vogue,
Velvety,
Vivacious,
Ventilated,
Valiant,
Vintage-inspired,
Visionary,
Wonderful,
Well-made,
Whimsical,
Warm,
Winning,
Wealthy-looking,
World-class,
Witty,
Weightless,
Wildly fashionable,
good,
nice,
beautiful,
wow,
excellent,
superv,
absoultely wonderful,
